Einheit;Kilowattstunden;Kilowattstunden
Zählpunkt;AT0031000000000000000000011111;AT0031000000000000000000011111
;Verbrauch;Erzeugung
Spaltensumme / minimale Qualität;1 945,389000;922,895395
01.01.2024 00:00:00;0,056000;0,012000
01.01.2024 00:15:00;0,068000;0,024000
01.01.2024 00:30:00;0,082000;0,000000
01.01.2024 00:45:00;0,069000;0,000000
01.01.2024 01:00:00;0,084000;0,000000
01.01.2024 01:15:00;0,264000;0,000000
01.01.2024 01:30:00;0,087000;0,000000
01.01.2024 01:45:00;0,025000;0,000000
01.01.2024 02:00:00;0,018000;0,000000
01.01.2024 02:15:00;0,021000;0,000000
01.01.2024 02:30:00;0,021000;0,000000
01.01.2024 02:45:00;0,015000;0,000000
01.01.2024 03:00:00;0,023000;0,000000
01.01.2024 03:15:00;0,019000;0,000000
01.01.2024 03:30:00;0,015000;0,000000
01.01.2024 03:45:00;0,023000;0,000000
01.01.2024 04:00:00;0,016000;0,000000
01.01.2024 04:15:00;0,019000;0,000000
01.01.2024 04:30:00;0,017000;0,000000
01.01.2024 04:45:00;0,016000;0,000000
01.01.2024 05:00:00;0,019000;0,000000
01.01.2024 05:15:00;0,015000;0,000000
01.01.2024 05:30:00;0,020000;0,000000
01.01.2024 05:45:00;0,015000;0,000000
01.01.2024 06:00:00;0,014000;0,000000
01.01.2024 06:15:00;0,021000;0,000000
01.01.2024 06:30:00;0,012000;0,000000
01.01.2024 06:45:00;0,020000;0,000000
01.01.2024 07:00:00;0,020000;0,000000
01.01.2024 07:15:00;0,016000;0,000000
01.01.2024 07:30:00;0,020000;0,000000
01.01.2024 07:45:00;0,014000;0,000000
01.01.2024 08:00:00;0,019000;0,000000
01.01.2024 08:15:00;0,011000;0,000000
01.01.2024 08:30:00;0,018000;0,000726
01.01.2024 08:45:00;0,021000;0,001701
01.01.2024 09:00:00;0,009000;0,001202
01.01.2024 09:15:00;0,019000;0,000965
01.01.2024 09:30:00;0,021000;0,005849
01.01.2024 09:45:00;0,013000;0,007046
01.01.2024 10:00:00;0,018000;0,013729
01.01.2024 10:15:00;0,017000;0,008830
01.01.2024 10:30:00;0,020000;0,007006
01.01.2024 10:45:00;0,427000;0,104728
01.01.2024 11:00:00;0,217000;0,091063
01.01.2024 11:15:00;0,117000;0,072069
01.01.2024 11:30:00;0,087000;0,087000
01.01.2024 11:45:00;0,080000;0,080000
01.01.2024 12:00:00;0,111000;0,111000
01.01.2024 12:15:00;0,412000;0,246379
01.01.2024 12:30:00;0,251000;0,155243
01.01.2024 12:45:00;0,241000;0,157838
01.01.2024 13:00:00;0,155000;0,155000
01.01.2024 13:15:00;0,357000;0,333288
01.01.2024 13:30:00;0,277000;0,182196
01.01.2024 13:45:00;0,222000;0,117196
01.01.2024 14:00:00;0,056000;0,056000
01.01.2024 14:15:00;0,064000;0,047158
01.01.2024 14:30:00;0,290000;0,024519
01.01.2024 14:45:00;0,187000;0,020854
01.01.2024 15:00:00;0,283000;0,116604
01.01.2024 15:15:00;0,094000;0,005348
01.01.2024 15:30:00;0,040000;0,015656
01.01.2024 15:45:00;0,024000;0,001772
01.01.2024 16:00:00;0,349000;0,000000
01.01.2024 16:15:00;0,140000;0,000000
01.01.2024 16:30:00;0,308000;0,000000
01.01.2024 16:45:00;0,619000;0,000000
01.01.2024 17:00:00;0,449000;0,000000
01.01.2024 17:15:00;0,125000;0,000000
01.01.2024 17:30:00;0,101000;0,000000
01.01.2024 17:45:00;0,123000;0,000000
01.01.2024 18:00:00;0,489000;0,000000
01.01.2024 18:15:00;0,346000;0,000000
01.01.2024 18:30:00;0,122000;0,000000
01.01.2024 18:45:00;0,045000;0,000000
01.01.2024 19:00:00;0,100000;0,000000
01.01.2024 19:15:00;0,057000;0,000000
01.01.2024 19:30:00;0,055000;0,000000
01.01.2024 19:45:00;0,057000;0,000000
01.01.2024 20:00:00;0,057000;0,000000
01.01.2024 20:15:00;0,058000;0,000000
01.01.2024 20:30:00;0,069000;0,000000
01.01.2024 20:45:00;0,093000;0,000000
01.01.2024 21:00:00;0,099000;0,000000
01.01.2024 21:15:00;0,121000;0,000000
01.01.2024 21:30:00;0,083000;0,000000
01.01.2024 21:45:00;0,067000;0,000000
01.01.2024 22:00:00;0,067000;0,000000
01.01.2024 22:15:00;0,083000;0,000000
01.01.2024 22:30:00;0,059000;0,000000
01.01.2024 22:45:00;0,065000;0,000000
01.01.2024 23:00:00;0,051000;0,000000
01.01.2024 23:15:00;0,018000;0,000000
01.01.2024 23:30:00;0,025000;0,000000
01.01.2024 23:45:00;0,040000;0,000000
02.01.2024 00:00:00;0,013000;0,000000
02.01.2024 00:15:00;0,017000;0,000000
02.01.2024 00:30:00;0,035000;0,000000
02.01.2024 00:45:00;0,015000;0,000000
02.01.2024 01:00:00;0,013000;0,000000
02.01.2024 01:15:00;0,029000;0,000000
02.01.2024 01:30:00;0,013000;0,000000
02.01.2024 01:45:00;0,015000;0,000000
02.01.2024 02:00:00;0,028000;0,000000
02.01.2024 02:15:00;0,019000;0,000000
02.01.2024 02:30:00;0,017000;0,000000
02.01.2024 02:45:00;0,025000;0,000000
02.01.2024 03:00:00;0,020000;0,000000
02.01.2024 03:15:00;0,017000;0,000000
02.01.2024 03:30:00;0,022000;0,000000
02.01.2024 03:45:00;0,020000;0,000000
02.01.2024 04:00:00;0,015000;0,000000
02.01.2024 04:15:00;0,021000;0,000000
02.01.2024 04:30:00;0,207000;0,000000
02.01.2024 04:45:00;0,192000;0,000000
02.01.2024 05:00:00;0,050000;0,000000
02.01.2024 05:15:00;0,022000;0,000000
02.01.2024 05:30:00;0,032000;0,000000
02.01.2024 05:45:00;0,375000;0,000000
02.01.2024 06:00:00;0,062000;0,000000
02.01.2024 06:15:00;0,027000;0,000000
02.01.2024 06:30:00;0,020000;0,000000
02.01.2024 06:45:00;0,010000;0,000000
02.01.2024 07:00:00;0,023000;0,000000
02.01.2024 07:15:00;0,057000;0,000000
02.01.2024 07:30:00;0,042000;0,000000
02.01.2024 07:45:00;0,041000;0,000000
02.01.2024 08:00:00;0,041000;0,000000
02.01.2024 08:15:00;0,079000;0,000000
02.01.2024 08:30:00;0,069000;0,000471
02.01.2024 08:45:00;0,074000;0,003528
02.01.2024 09:00:00;0,074000;0,005756
02.01.2024 09:15:00;0,072000;0,025840
02.01.2024 09:30:00;0,088000;0,039459
02.01.2024 09:45:00;0,117000;0,067375
02.01.2024 10:00:00;0,101000;0,052789
02.01.2024 10:15:00;0,106000;0,044892
02.01.2024 10:30:00;0,184000;0,046856
02.01.2024 10:45:00;0,093000;0,036573
02.01.2024 11:00:00;0,438000;0,126000
02.01.2024 11:15:00;0,434000;0,117091
02.01.2024 11:30:00;0,493000;0,140029
02.01.2024 11:45:00;0,216000;0,106326
02.01.2024 12:00:00;0,098000;0,042749
02.01.2024 12:15:00;0,091000;0,052046
02.01.2024 12:30:00;0,078000;0,013591
02.01.2024 12:45:00;0,065000;0,005750
02.01.2024 13:00:00;0,065000;0,005000
02.01.2024 13:15:00;0,314000;0,033238
02.01.2024 13:30:00;0,249000;0,042223
02.01.2024 13:45:00;0,075000;0,021120
02.01.2024 14:00:00;0,096000;0,020360
02.01.2024 14:15:00;0,463000;0,025229
02.01.2024 14:30:00;0,077000;0,007823
02.01.2024 14:45:00;0,078000;0,006082
02.01.2024 15:00:00;0,066000;0,004593
02.01.2024 15:15:00;0,082000;0,002495
02.01.2024 15:30:00;0,093000;0,001599
02.01.2024 15:45:00;0,116000;0,000000
02.01.2024 16:00:00;0,118000;0,000000
02.01.2024 16:15:00;0,134000;0,000000
02.01.2024 16:30:00;0,117000;0,000000
02.01.2024 16:45:00;0,210000;0,000000
02.01.2024 17:00:00;0,127000;0,000000
02.01.2024 17:15:00;0,104000;0,000000
02.01.2024 17:30:00;0,090000;0,000000
02.01.2024 17:45:00;0,140000;0,000000
02.01.2024 18:00:00;0,124000;0,000000
02.01.2024 18:15:00;0,243000;0,000000
02.01.2024 18:30:00;0,137000;0,000000
02.01.2024 18:45:00;0,105000;0,000000
02.01.2024 19:00:00;0,104000;0,000000
02.01.2024 19:15:00;0,390000;0,000000
02.01.2024 19:30:00;0,111000;0,000000
02.01.2024 19:45:00;0,141000;0,000000
02.01.2024 20:00:00;0,112000;0,000000
02.01.2024 20:15:00;0,098000;0,000000
02.01.2024 20:30:00;0,093000;0,000000
02.01.2024 20:45:00;0,089000;0,000000
02.01.2024 21:00:00;0,083000;0,000000
02.01.2024 21:15:00;0,092000;0,000000
02.01.2024 21:30:00;0,119000;0,000000
02.01.2024 21:45:00;0,110000;0,000000
02.01.2024 22:00:00;0,096000;0,000000
02.01.2024 22:15:00;0,116000;0,000000
02.01.2024 22:30:00;0,100000;0,000000
02.01.2024 22:45:00;0,107000;0,000000
02.01.2024 23:00:00;0,289000;0,000000
02.01.2024 23:15:00;0,123000;0,000000
02.01.2024 23:30:00;0,046000;0,000000
02.01.2024 23:45:00;0,030000;0,000000
03.01.2024 00:00:00;0,028000;0,000000
03.01.2024 00:15:00;0,008000;0,000000
03.01.2024 00:30:00;0,022000;0,000000
03.01.2024 00:45:00;0,025000;0,000000
03.01.2024 01:00:00;0,009000;0,000000
03.01.2024 01:15:00;0,023000;0,000000
03.01.2024 01:30:00;0,027000;0,000000
03.01.2024 01:45:00;0,010000;0,000000
03.01.2024 02:00:00;0,026000;0,000000
03.01.2024 02:15:00;0,026000;0,000000
03.01.2024 02:30:00;0,014000;0,000000
03.01.2024 02:45:00;0,021000;0,000000
03.01.2024 03:00:00;0,022000;0,000000
03.01.2024 03:15:00;0,014000;0,000000
03.01.2024 03:30:00;0,020000;0,000000
03.01.2024 03:45:00;0,018000;0,000000
03.01.2024 04:00:00;0,019000;0,000000
03.01.2024 04:15:00;0,018000;0,000000
03.01.2024 04:30:00;0,011000;0,000000
03.01.2024 04:45:00;0,021000;0,000000
03.01.2024 05:00:00;0,021000;0,000000
03.01.2024 05:15:00;0,010000;0,000000
03.01.2024 05:30:00;0,019000;0,000000
03.01.2024 05:45:00;0,023000;0,000000
03.01.2024 06:00:00;0,013000;0,000000
03.01.2024 06:15:00;0,014000;0,000000
03.01.2024 06:30:00;0,023000;0,000000
03.01.2024 06:45:00;0,019000;0,000000
03.01.2024 07:00:00;0,058000;0,000000
03.01.2024 07:15:00;0,037000;0,000000
03.01.2024 07:30:00;0,030000;0,000000
03.01.2024 07:45:00;0,008000;0,000000
03.01.2024 08:00:00;0,044000;0,000160
03.01.2024 08:15:00;0,072000;0,002837
03.01.2024 08:30:00;0,052000;0,005017
03.01.2024 08:45:00;0,102000;0,004460
03.01.2024 09:00:00;0,111000;0,020106
03.01.2024 09:15:00;0,220000;0,043699
03.01.2024 09:30:00;0,076000;0,015798
03.01.2024 09:45:00;0,210000;0,117510
03.01.2024 10:00:00;0,081000;0,031500
03.01.2024 10:15:00;0,123000;0,029569
03.01.2024 10:30:00;0,150000;0,137032
03.01.2024 10:45:00;0,128000;0,104727
03.01.2024 11:00:00;0,119000;0,064691
03.01.2024 11:15:00;0,134000;0,094051
03.01.2024 11:30:00;0,263000;0,165555
03.01.2024 11:45:00;0,738000;0,310528
03.01.2024 12:00:00;0,123000;0,117793
03.01.2024 12:15:00;0,089000;0,084201
03.01.2024 12:30:00;0,074000;0,039786
03.01.2024 12:45:00;0,171000;0,062925
03.01.2024 13:00:00;0,288000;0,114651
03.01.2024 13:15:00;0,134000;0,113900
03.01.2024 13:30:00;0,085000;0,063455
03.01.2024 13:45:00;0,042000;0,042000
03.01.2024 14:00:00;0,135000;0,135000
03.01.2024 14:15:00;0,355000;0,092976
03.01.2024 14:30:00;0,031000;0,000289
03.01.2024 14:45:00;0,176000;0,052884
03.01.2024 15:00:00;0,095000;0,026903
03.01.2024 15:15:00;0,091000;0,068736
03.01.2024 15:30:00;0,123000;0,058323
03.01.2024 15:45:00;0,102000;0,016512
03.01.2024 16:00:00;0,088000;0,000791
03.01.2024 16:15:00;0,080000;0,000000
03.01.2024 16:30:00;0,229000;0,000000
03.01.2024 16:45:00;0,197000;0,000000
03.01.2024 17:00:00;0,071000;0,000000
03.01.2024 17:15:00;0,060000;0,000000
03.01.2024 17:30:00;0,405000;0,000000
03.01.2024 17:45:00;0,048000;0,000000
03.01.2024 18:00:00;0,054000;0,000000
03.01.2024 18:15:00;0,075000;0,000000
03.01.2024 18:30:00;0,064000;0,000000
03.01.2024 18:45:00;0,092000;0,000000
03.01.2024 19:00:00;0,083000;0,000000
03.01.2024 19:15:00;0,077000;0,000000
03.01.2024 19:30:00;0,079000;0,000000
03.01.2024 19:45:00;0,068000;0,000000
03.01.2024 20:00:00;0,080000;0,000000
03.01.2024 20:15:00;0,061000;0,000000
03.01.2024 20:30:00;0,050000;0,000000
03.01.2024 20:45:00;0,097000;0,000000
03.01.2024 21:00:00;0,074000;0,000000
03.01.2024 21:15:00;0,075000;0,000000
03.01.2024 21:30:00;0,234000;0,000000
03.01.2024 21:45:00;0,064000;0,000000
03.01.2024 22:00:00;0,013000;0,000000
03.01.2024 22:15:00;0,029000;0,000000
03.01.2024 22:30:00;0,022000;0,000000
03.01.2024 22:45:00;0,050000;0,000000
03.01.2024 23:00:00;0,271000;0,000000
03.01.2024 23:15:00;0,146000;0,000000
03.01.2024 23:30:00;0,119000;0,000000
03.01.2024 23:45:00;0,072000;0,000000
04.01.2024 00:00:00;0,021000;0,000000
04.01.2024 00:15:00;0,013000;0,000000
04.01.2024 00:30:00;0,017000;0,000000
04.01.2024 00:45:00;0,019000;0,000000
04.01.2024 01:00:00;0,018000;0,000000
04.01.2024 01:15:00;0,011000;0,000000
04.01.2024 01:30:00;0,020000;0,000000
04.01.2024 01:45:00;0,020000;0,000000
04.01.2024 02:00:00;0,012000;0,000000
04.01.2024 02:15:00;0,022000;0,000000
04.01.2024 02:30:00;0,022000;0,000000
04.01.2024 02:45:00;0,015000;0,000000
04.01.2024 03:00:00;0,017000;0,000000
04.01.2024 03:15:00;0,017000;0,000000
04.01.2024 03:30:00;0,020000;0,000000
04.01.2024 03:45:00;0,014000;0,000000
04.01.2024 04:00:00;0,015000;0,000000
04.01.2024 04:15:00;0,021000;0,000000
04.01.2024 04:30:00;0,013000;0,000000
04.01.2024 04:45:00;0,018000;0,000000
04.01.2024 05:00:00;0,016000;0,000000
04.01.2024 05:15:00;0,018000;0,000000
04.01.2024 05:30:00;0,018000;0,000000
04.01.2024 05:45:00;0,011000;0,000000
04.01.2024 06:00:00;0,020000;0,000000
04.01.2024 06:15:00;0,020000;0,000000
04.01.2024 06:30:00;0,010000;0,000000
04.01.2024 06:45:00;0,018000;0,000000
04.01.2024 07:00:00;0,020000;0,000000
04.01.2024 07:15:00;0,015000;0,000000
04.01.2024 07:30:00;0,012000;0,000000
04.01.2024 07:45:00;0,023000;0,000000
04.01.2024 08:00:00;0,019000;0,000000
04.01.2024 08:15:00;0,008000;0,000000
04.01.2024 08:30:00;0,017000;0,000000
04.01.2024 08:45:00;0,027000;0,000709
04.01.2024 09:00:00;0,009000;0,000388
04.01.2024 09:15:00;0,018000;0,008058
04.01.2024 09:30:00;0,107000;0,021055
04.01.2024 09:45:00;0,320000;0,058378
04.01.2024 10:00:00;0,046000;0,007755
04.01.2024 10:15:00;0,088000;0,037198
04.01.2024 10:30:00;0,399000;0,122001
04.01.2024 10:45:00;0,167000;0,057971
04.01.2024 11:00:00;0,193000;0,111279
